geothermal_grad_degC_m,depth_m,log10_permeability_m2,permeability_md,porosity,thickness_m
0.02,4777.5,-15,1.01,0.22,20
0.0354,2787.8,-12.07,869.05,0.39,15
0.0188,5152.3,-13.54,29.45,0.11,15
0.0135,2616.8,-13.66,22.33,0.05,45
0.0493,1584.2,-13.89,13.07,0.16,35
0.0218,3473.9,-14.96,1.12,0.08,75
0.0422,2881.5,-14.21,6.24,0.39,30
0.0489,1945.9,-12.06,881.69,0.38,55
0.0332,2410.7,-12.24,582.14,0.14,3
0.0305,4673.7,-15.01,0.99,0.35,75
0.0297,4650.2,-14.71,1.99,0.08,85
0.0324,1933.1,-12.44,369.93,0.36,50
0.0166,1499,-13.87,13.66,0.42,95
0.0143,4131.6,-13.09,83,0.11,20
0.0386,3575.6,-14.43,3.78,0.07,110
0.0381,2719.9,-13.76,17.72,0.33,30
0.0257,2020.4,-12.18,661.99,0.28,10
0.0447,3655.8,-13.13,75.55,0.16,15
0.0306,4626.8,-12.55,287.48,0.22,55
0.0495,4454.5,-14.46,3.52,0.37,70
0.0468,5104.8,-12.13,742.98,0.22,20
0.0207,5430.8,-11.98,1065.1,0.15,45
0.0378,2365.5,-14.73,1.89,0.07,75
0.044,1248,-12.97,109.74,0.44,105
0.0327,4243.9,-13.29,52.44,0.08,60
0.0372,4736.6,-12.05,910.41,0.2,70
0.0456,4443.4,-12.87,136.03,0.42,110
0.042,4399.2,-13.39,41.02,0.23,65
0.0297,4555.8,-12.37,429.71,0.36,10
0.0448,2973.4,-12.23,603.49,0.32,55
0.017,3165.5,-14.38,4.22,0.31,20
0.0394,1402.9,-14.03,9.42,0.08,5
0.028,2208.2,-13.7,20.29,0.08,85
0.0191,3963,-13.24,58.23,0.03,30
0.0417,3822.2,-13.58,26.53,0.12,5
0.0178,4217.2,-13.59,25.86,0.35,5
0.0473,3755.5,-15.03,0.94,0.13,3
0.0208,5156,-13.59,26.14,0.23,95
0.0467,3365.9,-11.98,1059.13,0.13,50
0.0406,1500.4,-13.53,29.76,0.13,90
0.0311,4877,-12.2,645.66,0.18,100
0.0301,3067.1,-13.61,24.84,0.32,65
0.0472,1441.7,-12.56,279.96,0.37,55
0.0414,1243.8,-14.22,6.06,0.24,40
0.0348,4821.4,-14.63,2.37,0.22,40
0.0258,947.4,-14.26,5.62,0.32,85
0.016,1646.8,-13.43,37.69,0.29,15
0.0418,3886.8,-13.75,17.89,0.08,35
0.0136,4539.7,-14.71,1.97,0.13,3
0.0235,2043.9,-13.78,16.76,0.3,45
0.0432,1118.7,-13.47,34.65,0.27,65
0.0259,2530.3,-12.68,211.91,0.19,60
0.0345,1437.4,-14.62,2.46,0.24,85
0.0152,2300.1,-13.65,22.86,0.27,110
0.0242,1930.4,-14.43,3.78,0.05,80
0.039,4974.1,-13.77,17.36,0.14,75
0.0376,4230.9,-14.77,1.73,0.37,5
0.0388,1834.7,-14.99,1.04,0.3,40
0.0416,3805.6,-13.94,11.76,0.21,5
0.0327,3430.5,-12.07,861.73,0.38,75
0.042,1738,-13.57,27.09,0.24,20
0.0281,1073.2,-12.4,402.61,0.42,95
0.047,5360.3,-13.03,93.89,0.42,110
0.027,2764.3,-14.06,8.84,0.28,85
0.0179,3232.9,-13.28,53.07,0.12,70
0.0259,3786,-13.38,42.69,0.3,75
0.018,905.2,-13.57,27.01,0.11,50
0.0145,3218.7,-14.36,4.4,0.11,30
0.0451,1708.9,-13.8,15.97,0.37,50
0.0232,4382.3,-14.29,5.23,0.37,95
0.0318,1045.4,-13.38,41.9,0.1,110
0.0191,2377.4,-12.45,362.02,0.42,15
0.0372,2723.1,-13.92,12.17,0.39,65
0.0369,2058.2,-12.16,703.9,0.14,105
0.0431,2756.8,-14.36,4.42,0.17,60
0.0338,3747.6,-12.25,565.48,0.35,70
0.0224,4149.7,-12.61,250.07,0.28,90
0.0162,3007.6,-14.77,1.74,0.42,80
0.025,4915.6,-12.25,568.56,0.36,90
0.0454,2542.7,-14.63,2.39,0.35,100
0.0143,2259.6,-14.4,4.06,0.35,55
0.0408,4701.2,-12.19,653.66,0.2,90
0.0242,2653.1,-13.53,30.16,0.17,55
0.048,2587.2,-12.95,112.55,0.06,70
0.0247,2619.2,-14.59,2.6,0.26,30
0.0465,1685.5,-12.62,245.61,0.11,3
0.0333,3796.8,-12.79,165.08,0.43,75
0.0256,2924,-14.14,7.39,0.29,100
0.027,3250.1,-13.61,24.88,0.1,30
0.0324,2533.3,-13.77,17.11,0.24,40
0.015,4494.7,-14.56,2.78,0.07,85
0.036,1151.8,-12.25,566.52,0.2,80
0.0204,1729.7,-14.78,1.67,0.11,110
0.0182,1851.3,-12.89,131.46,0.23,15
0.0303,4419.5,-14.94,1.17,0.06,60
0.0292,4051.8,-14.5,3.19,0.17,40
0.0483,5138.9,-13.8,16.23,0.15,45
0.0236,2122.7,-12.73,189.48,0.29,30
0.015,4232.5,-13.46,34.84,0.32,60
0.0155,1985.3,-12.47,341.84,0.39,35
0.0182,2034.4,-14.65,2.26,0.18,45
0.0296,2467.5,-13.75,17.83,0.26,25
0.0204,2096.3,-14.68,2.13,0.07,100
0.0472,3798,-13.93,11.85,0.27,45
0.0359,1934.7,-12.53,298.12,0.4,65
0.0282,3130,-12.25,576.29,0.12,3
0.0153,4661.9,-13.44,36.61,0.1,30
0.0371,3316.9,-13.65,22.43,0.42,40
0.0198,4723.3,-13.55,28.78,0.33,90
0.035,1443,-13.49,33.1,0.27,55
0.0352,1554.7,-13.84,14.79,0.13,3
0.044,924.3,-12.16,704.83,0.16,5
0.0169,1922.7,-12.83,150.12,0.39,5
0.0485,1787.2,-13.68,20.93,0.13,60
0.0164,2199.2,-13.39,41.5,0.24,40
0.0293,1143.2,-14.35,4.55,0.26,35
0.0386,1533.1,-12.56,281.73,0.25,20
0.0141,5129.1,-15,1.01,0.39,45
0.0148,1775.3,-14.06,8.74,0.32,40
0.046,3630.1,-12.54,289.72,0.38,40
0.0441,4143.5,-12.89,130.07,0.15,45
0.0403,1594.3,-13.35,45.59,0.37,45
0.0306,1129.3,-13.43,37.75,0.11,10
0.029,4489.4,-14.36,4.44,0.33,50
0.0442,5320,-14.01,9.83,0.3,80
0.0266,1672,-13.46,35.52,0.07,55
0.0404,3343.2,-13.21,63.01,0.27,85
0.0389,1813.2,-14.52,3.09,0.13,55
0.027,5465.2,-13.91,12.37,0.36,35
0.0338,2773.3,-13.79,16.25,0.43,30
0.017,4951.8,-12.85,144.1,0.05,75
0.0146,3776.3,-13.26,56.26,0.39,35
0.029,2456.1,-12.85,144.34,0.3,80
0.0488,4158.2,-12.13,757.62,0.14,75
0.0291,3945.9,-14.31,4.93,0.37,100
0.0351,2292.6,-13.37,43.1,0.26,15
0.0165,2475.1,-14.44,3.71,0.13,60
0.0244,2063.1,-12.13,745.62,0.36,20
0.0317,4585,-13.88,13.48,0.05,15
0.0493,2633.5,-13.5,32.29,0.44,65
0.0283,4282.6,-14.86,1.39,0.19,100
0.0178,4010.6,-14.89,1.3,0.28,80
0.0367,3673.1,-14.31,5.01,0.13,95
0.0198,1624.4,-13.22,61.43,0.34,15
0.0442,3224.1,-12.65,227.39,0.39,30
0.0311,4445.2,-13.09,81.58,0.29,110
0.02,2500.2,-13.83,15.04,0.33,60
0.0309,2767.4,-12.33,477.11,0.39,105
0.017,2726,-13.7,20.23,0.07,90
0.0395,1972.9,-13.84,14.75,0.4,15
0.0183,4444.7,-14.36,4.47,0.18,5
0.0299,2019.1,-13.6,25.48,0.39,90
0.0269,2230.9,-14.46,3.49,0.32,110
0.0349,1101,-12.76,175.22,0.38,30
0.0236,1302.6,-14.72,1.95,0.17,90
0.0343,3710.7,-14.21,6.26,0.1,25
0.0253,5441.1,-13.64,23.2,0.23,100
0.0249,2912.6,-13.85,14.3,0.22,65
0.0391,5000.2,-12.31,490.79,0.12,25
0.0231,3306.6,-12.85,143.69,0.28,105
0.0381,4537.1,-14.59,2.58,0.43,40
0.0184,3247.2,-14.55,2.86,0.29,15
0.0295,2307.4,-13.22,60.57,0.17,15
0.0487,4763.2,-14.01,9.88,0.32,100
0.0453,4946.4,-12.35,454.52,0.11,50
0.0228,5003.9,-12.83,150.01,0.07,5
0.0185,2461.1,-14.69,2.09,0.38,60
0.0178,2636.9,-12.64,229.54,0.4,20
0.0289,3396.3,-12.73,188.43,0.39,3
0.0233,1172.4,-12.88,134.8,0.38,40
0.021,2347.8,-12.96,112.26,0.44,10
0.0221,4064.8,-14.96,1.11,0.22,40
0.0409,1476.1,-14.69,2.06,0.1,25
0.039,4874.2,-14.56,2.8,0.07,10
0.0474,3924.6,-13.09,82.79,0.43,60
0.0425,3640.2,-14.84,1.46,0.4,40
0.0304,2947.7,-14.41,3.96,0.12,65
0.0255,1313.4,-14.62,2.44,0.29,45
0.0135,2858.6,-12.81,156.07,0.28,15
0.037,4628.6,-13.91,12.52,0.43,55
0.0466,5411.9,-14.91,1.25,0.28,95
0.0426,2193.4,-14.07,8.55,0.14,40
0.0186,1586.3,-13.01,98.08,0.38,20
0.0257,4594.6,-12.53,301.64,0.2,10
0.0442,1473.1,-14.26,5.54,0.43,90
0.0338,2548,-12.85,141.82,0.26,20
0.0265,5304.8,-12.67,214.25,0.07,40
0.0489,2442.3,-14.14,7.33,0.12,65
0.0172,2029.5,-12.91,125.14,0.34,15
0.0255,2317.7,-13.32,48.29,0.12,5
0.0403,3163.1,-14.91,1.24,0.03,100
0.0397,1810.1,-12.77,172.84,0.12,20
0.0469,975.1,-12.81,158.36,0.15,80
0.0399,2862.4,-14.8,1.61,0.16,95
0.0288,2931.4,-12.81,155.35,0.35,3
0.0241,3203.7,-15.02,0.97,0.22,60
0.0292,3123.3,-14.3,5.06,0.15,75
0.0164,2838.5,-14.43,3.79,0.31,75
0.0488,4080.5,-13.92,12.22,0.15,15
0.0167,4619,-13.64,23.28,0.24,100
0.0161,1231.2,-12.52,303.49,0.4,110
0.0419,3492.8,-13.5,32.09,0.15,25
0.0398,3272.6,-14.98,1.06,0.37,105
0.0415,4176,-13.71,19.8,0.12,75
0.0492,4609.4,-14.7,2.03,0.12,80
0.0365,1862.7,-13.77,17.06,0.31,10
0.0177,5066.8,-12.25,563.74,0.15,40
0.0451,2090.5,-13.02,96.81,0.14,15
0.0482,3660.9,-13.25,57.33,0.14,30
0.0168,2577.8,-12.08,843.86,0.41,105
0.0242,3037.2,-14.67,2.15,0.29,55
0.033,5351.7,-12.8,160.17,0.33,90
0.0405,3284.3,-12.47,342.42,0.35,110
0.0347,2274,-13.47,34.17,0.15,90
0.015,4226.4,-14.14,7.27,0.05,40
0.0446,5036.4,-13.65,22.52,0.35,30
0.0437,1188.9,-13.02,95.98,0.18,30
0.0346,3624.6,-12.66,223.26,0.37,15
0.0435,1964.5,-12.11,789.84,0.3,80
0.0427,4769.5,-14.02,9.69,0.34,15
0.0326,3878.4,-12.45,362.75,0.31,50
0.0314,1980.9,-12.45,359.48,0.26,80
0.0457,3948.5,-13,101.02,0.14,20
0.0346,2211.2,-14.37,4.31,0.09,65
0.0428,2508.5,-12.39,411.51,0.15,30
0.0357,2952,-13.82,15.39,0.1,5
0.0312,3106.5,-12.69,205.24,0.16,75
0.022,4864.5,-13.71,19.6,0.19,105
0.0328,4833.2,-13.76,17.48,0.13,20
0.0387,3420.4,-14.57,2.76,0.14,75
0.037,5044.6,-12.18,670.53,0.05,20
0.0248,1485.7,-13.82,15.4,0.09,85
0.0179,3586.6,-14.04,9.2,0.24,3
0.0204,4886.8,-14.24,5.88,0.36,95
0.0288,2129,-13.51,31.44,0.34,5
0.0188,1592.9,-14.31,4.94,0.21,3
0.0296,4664.2,-12,1014.7,0.16,80
0.0218,3027.1,-14.17,6.79,0.17,110
0.0495,2054.5,-13.52,30.77,0.12,85
0.0253,5303.1,-14.53,2.97,0.43,3
0.038,2183.8,-14.5,3.17,0.23,95
0.0275,1618.2,-14.08,8.38,0.21,100
0.0231,1525.9,-12.04,920.13,0.37,20
0.0363,2461.7,-13.68,21.18,0.29,5
0.0232,1568.2,-14.77,1.73,0.05,50
0.0288,1875.1,-14.85,1.45,0.08,95
0.0438,3549.7,-13.05,89.45,0.32,85
0.0362,4074,-12.94,116,0.38,75
0.0387,2537.1,-14.2,6.39,0.19,5
0.0301,4876,-13.13,75.29,0.32,45
0.0248,2210,-11.97,1073.55,0.18,5
0.0387,3597.7,-12.65,227.15,0.32,30
0.0362,4740.7,-14.14,7.28,0.33,60
0.0464,3757,-13.69,20.72,0.43,110
0.0188,2004.7,-14.96,1.1,0.35,65
0.0238,2629.5,-13.5,32.33,0.28,20
0.0342,2005.4,-13.89,13,0.05,80
0.0485,3425.5,-12.06,872.52,0.1,5
0.0384,3018.2,-13.53,30.24,0.09,80
0.0136,5390.2,-14.26,5.57,0.06,95
0.0227,5266.1,-14.85,1.42,0.35,50
0.0449,3273,-12.71,198.58,0.31,50
0.0191,2329.3,-12.43,375.65,0.11,95
0.0288,4353.7,-14.5,3.21,0.14,60
0.0472,4222.4,-13.82,15.47,0.23,40
0.023,2957.5,-13.17,67.82,0.39,10
0.0267,1612.8,-11.98,1060.38,0.34,3
0.0325,2936.9,-12.63,236.42,0.18,50
0.0439,3208.1,-15.04,0.93,0.33,25
0.0222,4022.1,-14.35,4.58,0.34,95
0.0411,4448.1,-14.52,3.03,0.25,3
0.0377,4484.2,-14.81,1.57,0.03,5
0.0309,3761.2,-12.74,183.67,0.08,70
0.0332,2420,-14.05,9.06,0.3,45
0.0187,3352.3,-13.18,67.23,0.43,65
0.0144,1551,-12.03,945.41,0.36,15
0.0353,4750,-14.76,1.76,0.26,90
0.0223,4243,-13.51,31.13,0.1,65
0.0165,1341,-12.34,459.63,0.24,55
0.0452,3974.6,-14.41,3.91,0.26,90
0.0301,3663.2,-12.08,838.17,0.42,60
0.029,4108.6,-14.78,1.67,0.14,25
0.022,3223.7,-12.44,365.51,0.1,75
0.0494,1970.5,-12.41,391.85,0.22,55
0.0215,3298.1,-14.72,1.94,0.17,3
0.0437,3555,-12.51,312.25,0.28,80
0.0387,5353.3,-14.82,1.52,0.09,10
0.0349,1431.1,-14.83,1.5,0.11,90
0.0297,1641.8,-14.57,2.72,0.15,90
0.0197,2792.6,-13.69,20.72,0.17,20
0.0378,4640.1,-13.9,12.87,0.27,40
0.0275,4165.3,-14.43,3.8,0.16,70
0.0444,5277.1,-13.45,35.62,0.33,45
0.0475,4293.1,-14.35,4.57,0.25,75
0.0426,3440.4,-14.39,4.15,0.42,60
0.0227,4665.3,-13.38,42.06,0.34,10
0.0147,5490,-14.59,2.61,0.12,3
0.0408,2431.4,-13.48,33.74,0.38,25
