LOCATION_ID,SAMPLE_DATE,ANALYTICAL_METHOD,PARAMETER_NAME,PARAMETER_CODE,ANALYSIS_TYPE_CODE,SAMPLE_PURPOSE,FIELD_PREPARATION_CODE,DETECT_FLAG,REPORT_RESULT,REPORT_METHOD_DETECTION_LIMIT,REPORT_DETECTION_LIMIT,,,REPORT_UNITS,DILUTION_FACTOR,SAMPLE_TYPE,LAB_QUALIFIER,VALIDATION_QUALIFIER,VALIDATION_REASON_CODES,BEST_VALUE_FLAG,LAB_ID,FIELD_SAMPLE_ID,SAMPLE_USAGE_CODE,SAMPLING_PLAN_NAME,CHAIN_OF_CUSTODY_NO,SAMPLE_TIME,,,,
MCOI-5,05/03/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,8.74,2.1,11,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-10-16735,INV,"Mortandad Watershed Sampling Q4, May 2010, IFWGMP 2009",10-3006,14:25,,,,"MCOI-540301Dioxane[1,4-]8.74CAMO-10-1673514:25"
MCOI-5,11/15/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,9.09,2,10,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-11-1253,INV,"Mortandad Watershed Sampling Q2, November 2010, IFWGMP 2010",11-531,16:40,,,,"MCOI-540497Dioxane[1,4-]9.09CAMO-11-125316:40"
MCOI-5,05/26/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,4.76,2,10,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-11-10699,INV,"Mortandad Watershed Sampling Q4, May 2011, 2010 Interim Plan",11-2561,12:34,,,,"MCOI-540689Dioxane[1,4-]4.76CAMO-11-1069912:34"
MCOI-5,11/08/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,5.19,3.3,11,,,ug/L,1,WG,J,J,SV7c,Y,GELC,CAMO-12-1465,INV,"Mortandad Watershed Sampling Q1, November 2011, Interim Plan 2011",12-292,11:27,,,,"MCOI-540855Dioxane[1,4-]5.19CAMO-12-146511:27"
MCOI-5,06/04/2012,SW-846:8270C,"Dioxane[1,4-]",123-91-1,RE,REG,UF,Y,4.45,3.13,10.4,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-12-14070,INV,"Mortandad Q3 Additional Samples (TO8, FCN 24 and FCN 26)",12-1337,12:00,,,,"MCOI-541064Dioxane[1,4-]4.45CAMO-12-1407012:00"
MCOI-5,10/30/2012,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,5.28,3,10,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-13-24238,INV,Mortandad/Sandia (Chromium Investigation) MY2013 Q1 Watershed Sampling_MORTANDAD,2013-246,13:02,,,,"MCOI-541212Dioxane[1,4-]5.28CAMO-13-2423813:02"
MCOI-5,05/07/2013,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,12,0.16,1,,,ug/L,,WG,,NQ,,,ALSK,MCOI-5-5-7-13-DIOX,,,,12:27,,,,"MCOI-541401Dioxane[1,4-]12MCOI-5-5-7-13-DIOX12:27"
MCOI-5,11/08/2013,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,7.16,3.16,10.5,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-14-45743,INV,Mortandad/Sandia (Chromium Investigation) MY2014 Q1 Watershed Sampling_MORTANDAD,2014-2433,12:29,,,,"MCOI-541586Dioxane[1,4-]7.16CAMO-14-4574312:29"
MCOI-5,05/12/2014,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,11,0.11,0.37,,,UG/L,,WG,,NQ,,,PARA,MCOI-5-5-12-14-LLDiox,,,,12:03,,,,"MCOI-541771Dioxane[1,4-]11MCOI-5-5-12-14-LLDiox12:03"
MCOI-5,11/18/2014,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,10,3.16,10.5,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-15-90207,INV,Mortandad/Sandia (Chromium Investigation) MY2015 Q1 Watershed Sampling_Mortandad,2015-370,11:35,,,,"MCOI-541961Dioxane[1,4-]10CAMO-15-9020711:35"
MCOI-5,05/13/2015,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,11,0.1,0.35,,,UG/L,,WG,,NQ,,,PARA,MCOI-5-5-13-15-DIOX,,,,11:00,,,,"MCOI-542137Dioxane[1,4-]11MCOI-5-5-13-15-DIOX11:00"
MCOI-5,11/16/2015,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,9.6,1.56,5.21,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-16-106094,INV,Mortandad/Sandia Q1 MY2016 Sampling Event_Mortandad Canyon,2016-351,10:57,,,,"MCOI-542324Dioxane[1,4-]9.6CAMO-16-10609410:57"
MCOI-5,05/06/2016,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,15,0.4,1.4,,,UG/L,,WG,,NQ,,,ALSFC,MCOI-5-5-6-16-DIOX,,,,11:32,,,,"MCOI-542496Dioxane[1,4-]15MCOI-5-5-6-16-DIOX11:32"
MCOI-5,07/25/2016,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,16,0.097,0.34,,,UG/L,,WG,,NQ,,,ALSFC,MCOI-5-7-25-16-DIOX,,,,11:50,,,,"MCOI-542576Dioxane[1,4-]16MCOI-5-7-25-16-DIOX11:50"
MCOI-5,11/08/2016,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,12.6,3,10,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-17-127222,INV,Mort/Sandia_Mort MY2017 Q1,2017-396,10:34,,,,"MCOI-542682Dioxane[1,4-]12.6CAMO-17-12722210:34"
MCOI-6,06/15/2005,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,FD,UF,Y,56.4,,,,,ug/L,1,WG,,J,V7b,Y,GELC,GU05050GMC690,,,138851,09:07,,,,"MCOI-638518Dioxane[1,4-]56.4GU05050GMC69009:07"
MCOI-6,06/29/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,FD,UF,Y,20.8,1.03,,,,ug/L,1,WG,,NQ,NQ,Y,GELC,GU060600GMC690,,,166352,12:15,,,,"MCOI-638897Dioxane[1,4-]20.8GU060600GMC69012:15"
MCOI-6,10/25/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,24.2,1.03,,,,ug/L,1,WG,,NQ,NQ,Y,GELC,GU061000GMC601,,,174980,10:30,,,,"MCOI-639015Dioxane[1,4-]24.2GU061000GMC60110:30"
MCOI-6,02/26/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,25,1.25,,,,ug/L,1,WG,,NQ,NQ,Y,GELC,GU070200GMC601,,,181512,14:51,,,,"MCOI-639139Dioxane[1,4-]25GU070200GMC60114:51"
MCOI-6,06/05/2007,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,FD,UF,Y,63.9,20,,,,ug/L,1,WG,,J,V7b,Y,GELC,GU070500GMC620,,,187316,12:38,,,,"MCOI-639238Dioxane[1,4-]63.9GU070500GMC62012:38"
MCOI-6,08/13/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,29.6,1.14,,,,ug/L,1,WG,,NQ,NQ,Y,GELC,GU070800GMC601,,,191539,15:31,,,,"MCOI-639307Dioxane[1,4-]29.6GU070800GMC60115:31"
MCOI-6,11/09/2007,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,47.7,20,50,,,ug/L,1,WG,J,J,V7b,Y,GELC,CASA-08-7610,IGMP,Mortandad Canyon Water IGWMP NOV 07,08-145,11:56,,,,"MCOI-639395Dioxane[1,4-]47.7CASA-08-761011:56"
MCOI-6,02/22/2008,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,57,20,50,,,ug/L,1,WG,,J,V7b,Y,GELC,CAMO-08-10427,INV,Mortandad Watershed GW Sampling Q3 Feb. 2008,08-685,11:37,,,,"MCOI-639500Dioxane[1,4-]57CAMO-08-1042711:37"
MCOI-6,08/12/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,25.2,1.1,11,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-08-14500,INV,"Mortandad Watershed Sampling Q1 August 2008, IFWGWMP 2008",08-1658,12:00,,,,"MCOI-639672Dioxane[1,4-]25.2CAMO-08-1450012:00"
MCOI-6,11/10/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,26.6,1,10,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-09-784,INV,"Mortandad Watershed Sampling Q2 Nov. 2008, IFWGMP 2008",09-267,15:35,,,,"MCOI-639762Dioxane[1,4-]26.6CAMO-09-78415:35"
MCOI-6,02/10/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,20.7,1.1,11,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-09-2600,INV,"Mortandad Watershed Sampling Q3 Feb. 2009, IFWGMP 2008",09-863,15:50,,,,"MCOI-639854Dioxane[1,4-]20.7CAMO-09-260015:50"
MCOI-6,05/05/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,20.2,1.1,11,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-09-8169,INV,"Mortandad Watershed Sampling Event 4, May 2009, IFWGMP 2008",09-1742,13:25,,,,"MCOI-639938Dioxane[1,4-]20.2CAMO-09-816913:25"
MCOI-6,08/19/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,10.9,2,10,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-09-9533,INV,"Mortandad Watershed Sampling Q1, August 2009, IFWGMP 2009",09-2968,15:15,,,,"MCOI-640044Dioxane[1,4-]10.9CAMO-09-953315:15"
MCOI-6,11/06/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,23.2,2.5,13,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-10-3121,INV,"Mortandad Watershed Sampling Qtr 2, Nov. 2009, IFWGMP 2009",10-412,13:20,,,,"MCOI-640123Dioxane[1,4-]23.2CAMO-10-312113:20"
MCOI-6,01/26/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,20.9,2.5,13,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-10-9319,INV,"Mortandad Watershed Sampling Q3, February 2010, IFWGMP 2009",10-1441,13:30,,,,"MCOI-640204Dioxane[1,4-]20.9CAMO-10-931913:30"
MCOI-6,05/11/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,15.6,2,10,,,ug/L,1,WG,,J,SV7c,Y,GELC,CAMO-10-16737,INV,"Mortandad Watershed Sampling Q4, May 2010, IFWGMP 2009",10-3131,11:35,,,,"MCOI-640309Dioxane[1,4-]15.6CAMO-10-1673711:35"
MCOI-6,11/10/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,11.5,2.2,11,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-11-1256,INV,"Mortandad Watershed Sampling Q2, November 2010, IFWGMP 2010",11-471,15:55,,,,"MCOI-640492Dioxane[1,4-]11.5CAMO-11-125615:55"
MCOI-6,05/31/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,RE,REG,UF,Y,10.8,2.2,11,,,ug/L,1,WG,J,J,SV88,Y,GELC,CAMO-11-10700,INV,"Mortandad Watershed Sampling Q4, May 2011, 2010 Interim Plan",11-2587,11:34,,,,"MCOI-640694Dioxane[1,4-]10.8CAMO-11-1070011:34"
MCOI-6,11/09/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,12.1,3.1,10,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-12-1468,INV,"Mortandad Watershed Sampling Q1, November 2011, Interim Plan 2011",12-313,15:13,,,,"MCOI-640856Dioxane[1,4-]12.1CAMO-12-146815:13"
MCOI-6,06/04/2012,SW-846:8270C,"Dioxane[1,4-]",123-91-1,RE,REG,UF,Y,11.2,3.13,10.4,,,ug/L,1,WG,,NQ,NQ,Y,GELC,CAMO-12-14071,INV,"Mortandad Q3 Additional Samples (TO8, FCN 24 and FCN 26)",12-1340,11:44,,,,"MCOI-641064Dioxane[1,4-]11.2CAMO-12-1407111:44"
